Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Northwestern University,NWUNI,1.85,12/1/2018,1.4923433,1.4923433,AT MATURITY,4935000,USD,US,10/21/2013,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,1.791,12/1/2019,2.4414931,2.4414931,AT MATURITY,420000,USD,US,12/13/2012,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,3.137,12/1/2025,3.6938869,3.6938869,AT MATURITY,490000,USD,US,12/13/2012,FIXED,AAA,Aaa
MP Environmental Funding LLC,FE,5.127,1/15/2030,#N/A N/A,#N/A N/A,SINKABLE,64380000,USD,US,12/16/2009,FIXED,AAA,Aaa
Northwestern University,NWUNI,2.603,12/1/2020,1.9771981,1.9771981,AT MATURITY,5450000,USD,US,10/21/2013,FIXED,AAA,Aaa
Henry J Kaiser Family Foundation/CA,KFFORG,4.407,12/1/2045,#N/A N/A,#N/A N/A,AT MATURITY,35000000,USD,US,6/18/2015,FIXED,AAA,#N/A N/A
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,2.787,12/1/2023,3.2931348,3.2931348,AT MATURITY,460000,USD,US,12/13/2012,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,3.792,12/1/2032,4.2241098405,4.2649849717,SINKABLE,2915000,USD,US,12/13/2012,FIXED,AAA,#N/A N/A
PE Environmental Funding LLC,FE,5.4625,7/15/2026,#N/A N/A,#N/A N/A,SINKABLE,50700000,USD,US,4/3/2007,FIXED,AAA,Aaa
Princeton Theological Seminary,PRISEM,4.555,7/1/2026,3.6247336,3.6247336,AT MATURITY,4330000,USD,US,9/26/2013,FIXED,AAA,Aa1
Princeton Theological Seminary,PRISEM,1.62,7/1/2016,1.7111703812,1.7111703812,AT MATURITY,230000,USD,US,9/26/2013,FIXED,AAA,Aa1
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,3.337,12/1/2027,3.9493799,3.9493799,AT MATURITY,520000,USD,US,12/13/2012,FIXED,AAA,Aaa
Princeton Theological Seminary,PRISEM,4.455,7/1/2025,3.4835959,3.4835959,AT MATURITY,4140000,USD,US,9/26/2013,FIXED,AAA,Aa1
Princeton Theological Seminary,PRISEM,3.083,7/1/2019,2.3485114,2.3485114,AT MATURITY,1700000,USD,US,9/26/2013,FIXED,AAA,Aa1
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,0.939,12/1/2016,1.742773,1.742773,AT MATURITY,400000,USD,US,12/13/2012,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,1.239,12/1/2017,2.0125382,2.0125382,AT MATURITY,405000,USD,US,12/13/2012,FIXED,AAA,Aaa
Princeton Theological Seminary,PRISEM,3.805,7/1/2021,2.8352102,2.8352102,AT MATURITY,1815000,USD,US,9/26/2013,FIXED,AAA,Aa1
Northwestern University,NWUNI,2.951,12/1/2021,2.228238,2.228238,AT MATURITY,4790000,USD,US,10/21/2013,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,2.812,12/1/2023,2.587394,2.587394,AT MATURITY,360000,USD,US,11/12/2015,FIXED,AAA,#N/A N/A
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,1.491,12/1/2018,2.1752823,2.1752823,AT MATURITY,410000,USD,US,12/13/2012,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,2.187,12/1/2020,2.5677223,2.5677223,AT MATURITY,425000,USD,US,12/13/2012,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,2.587,12/1/2022,2.959676,2.959676,AT MATURITY,445000,USD,US,12/13/2012,FIXED,AAA,Aaa
Princeton Theological Seminary,PRISEM,4.005,7/1/2022,3.0370479,3.0370479,AT MATURITY,1880000,USD,US,9/26/2013,FIXED,AAA,Aa1
Princeton Theological Seminary,PRISEM,2.268,7/1/2017,2.2506285,2.2506285,AT MATURITY,230000,USD,US,9/26/2013,FIXED,AAA,Aa1
